#will print SFR density
#redshift LBG/Gyr SFRD_tot[Msun/yr/Mpc^3] SFRD_disk[Msun/yr/Mpc^3] SFRD_bulges[Msun/yr/Mpc^3]
1.0631787 8.197359 -1.5438701504200887 -1.6315346981719618 -2.281925675165435
1.0302384 8.070253 -1.5446998620888253 -1.6440693639695882 -2.2339688740282115
0.99782234 7.9406877 -1.5880564136869448 -1.6514104347744138 -2.4553585373356364
0.9659266 7.8086605 -1.532377086591659 -1.6667570952545292 -2.1072856155200816
0.9345391 7.674134 -1.5505136785176348 -1.6867513144170792 -2.12034043465284
0.90365237 7.537094 -1.605606235531263 -1.695396079491075 -2.334285029884395
0.8732625 7.397541 -1.5494918976379353 -1.7164970313655274 -2.0453763796339306
0.84335196 7.2554135 -1.57621610328634 -1.7336713917053919 -2.093194820545025
0.813924 7.1107516 -1.5819993944324817 -1.7532247794748002 -2.069019069076432
0.78496206 6.9634967 -1.595042388087241 -1.7723150876624374 -2.0698103601276228
0.756466 6.8136744 -1.662729934288845 -1.7863925421376992 -2.2686409659655524
0.72842324 6.661251 -1.710147124026687 -1.7950762027634009 -2.4606477641598468
0.7008278 6.5062256 -1.7425995462339847 -1.7998253268137 -2.6510908811820304
0.673671 6.3485813 -1.6998657038564688 -1.8118910633502177 -2.3431429860173747
0.64694995 6.18834 -1.7264459512682653 -1.8251515863400631 -2.418306800389272
0.62065625 6.025492 -1.644667778079025 -1.8433462129095397 -2.0798600672517282
0.5947819 5.8600307 -1.7307782967902985 -1.8539926176856925 -2.33805300178974
0.5693192 5.6919518 -1.785350072429111 -1.8582868186495285 -2.5961461074438454
0.5442656 5.521287 -1.792308848494765 -1.8672679642324155 -2.5922093165471263
0.51961136 5.3480196 -1.790972892749699 -1.8725072945989145 -2.5575459002046466
0.49534947 5.1721544 -1.8006661857762116 -1.8807153593824935 -2.5745036272666506
0.47147545 4.993718 -1.7656766553844663 -1.8926876069564256 -2.361578674280452
0.44798267 4.8127155 -1.6971849369531948 -1.9108709058146705 -2.1076642001015182
0.42486474 4.629163 -1.7866585393293444 -1.9214635265650082 -2.3603973047497715
0.40211552 4.443075 -1.858819682110961 -1.9232010578605687 -2.719636829364703
0.37972903 4.25447 -1.886352583714561 -1.9260098567020696 -2.945491808722928
0.35770136 4.063384 -1.8281535235624518 -1.9355491591438065 -2.487543016451417
0.33602497 3.8698273 -1.8720350856337293 -1.9416895763055524 -2.70123213930889
0.31469446 3.6738234 -1.9138931979800815 -1.9447556172973244 -3.0775873724235945
0.29370457 3.4754047 -1.8498088051774073 -1.9596670112996504 -2.5005324374695395
0.27305016 3.274602 -1.7752058979600704 -1.9673308831396932 -2.221933235647549
0.25272468 3.071432 -1.8956435876271513 -1.9684919621396673 -2.706923191679713
0.2327249 2.8659506 -1.8608553388440614 -1.979429254778928 -2.4825893728917823
0.21304312 2.658163 -1.9334696361848547 -1.9866720263984887 -2.871652471761451
0.19367638 2.4481277 -1.8659645945836607 -1.9989242682400001 -2.444814052842021
0.17461884 2.2358713 -1.9307510509974015 -2.0074692841963904 -2.7214313540839945
0.15586492 2.0214243 -1.9270440708742436 -2.010520639488682 -2.6843337339440794
0.13741186 1.8048515 -1.973134966927276 -2.009080466511131 -3.07312354771632
0.1192518 1.5861588 -1.9656704180676665 -2.0138063005402214 -2.944831453771994
0.10138223 1.365407 -1.9620750739443844 -2.020729808557037 -2.860553655121896
0.08379819 1.1426373 -1.9165085759462572 -2.030529381402758 -2.553072596084339
0.06649489 0.9178934 -1.7974850156912736 -2.0500002776709914 -2.153138888147133
0.04946771 0.6912098 -1.936598469535961 -2.05295070427241 -2.565486110389264
0.03271219 0.46263695 -1.8433526557316167 -2.073605284646975 -2.22898410889183
0.01622505 0.23222733 -1.9893899395651693 -2.075358573712577 -2.7351097100485924
0.0 9.536743e-07 -2.017340477380337 -2.076392771008498 -2.9130796534188175

