#SMF all galaxies from z=0, 10
#log10(Mstar/Msun) phi phi_err redshift
#SMF all galaxies from z=0, 10
6.1875 -0.7005720157071944 -0.7031783789531246 3.0
6.3125 -0.7574517204363294 -0.7499677825818429 3.0
6.4375 -0.8049645833301704 -0.7909098768486329 3.0
6.5625 -0.851504522599905 -0.8408385438435928 3.0
6.6875 -0.9053799033827595 -0.8960770343029014 3.0
6.8125 -0.9693814047207181 -0.9469338165400779 3.0
6.9375 -1.0299158316623809 -1.0064064825856482 3.0
7.0625 -1.071380099890144 -1.0709865389371542 3.0
7.1875 -1.139904709537457 -1.126066002332589 3.0
7.3125 -1.191749334891318 -1.1684870271985148 3.0
7.4375 -1.254517076875278 -1.2515260562243256 3.0
7.5625 -1.3304093300599846 -1.3010422556874788 3.0
7.6875 -1.3771608574059737 -1.359989746465174 3.0
7.8125 -1.4530901343264653 -1.4237595323018208 3.0
7.9375 -1.5157124206767119 -1.4881288990446233 3.0
8.0625 -1.5805649043127832 -1.5767663860866898 3.0
8.1875 -1.706564707859603 -1.6515576144313784 3.0
8.3125 -1.7428877500585982 -1.719503931504118 3.0
8.4375 -1.8261538824001085 -1.7705470185264771 3.0
8.5625 -1.8860689077166608 -1.8784271654227855 3.0
8.6875 -2.0384086509378037 -1.9756529141640529 3.0
8.8125 -2.1205193818327226 -2.0222886547346497 3.0
8.9375 -2.1948775199542605 -2.1385238038210717 3.0
9.0625 -2.2688575723160778 -2.2054705934516847 3.0
9.1875 -2.365767585324134 -2.2911339670272297 3.0
9.3125 -2.441857754394617 -2.4282138737280707 3.0
9.4375 -2.534172015713524 -2.501171755610599 3.0
9.5625 -2.6989822643595165 -2.5399243446026154 3.0
9.6875 -2.6825918481713473 -2.6225939184960616 3.0
9.8125 -2.791736317596415 -2.7815171524147293 3.0
9.9375 -2.9678275766520965 -2.983621843835328 3.0
10.0625 -2.9525876100953594 -2.8835066909520606 3.0
10.1875 -2.923623914160043 -3.0725629271721093 3.0
10.3125 -3.238894348938634 -3.0725629271721093 3.0
10.4375 -3.4149856079943155 -3.511895621002372 3.0
10.5625 -4.113955612330335 -3.511895621002372 3.0
10.6875 -4.414985607994316 -3.9378643532746533 3.0
10.8125 0.0 -4.414985607994316 3.0
10.9375 0.0 -4.414985607994316 3.0
11.0625 0.0 -4.414985607994316 3.0
11.1875 0.0 0.0 3.0
11.3125 0.0 0.0 3.0
11.4375 0.0 0.0 3.0
11.5625 0.0 0.0 3.0
11.6875 0.0 0.0 3.0
11.8125 0.0 0.0 3.0
11.9375 0.0 0.0 3.0
12.0625 0.0 0.0 3.0
12.1875 0.0 0.0 3.0
12.3125 0.0 0.0 3.0
12.4375 0.0 0.0 3.0
12.5625 0.0 0.0 3.0
12.6875 0.0 0.0 3.0
12.8125 0.0 0.0 3.0
12.9375 0.0 0.0 3.0
13.0625 0.0 0.0 3.0
13.1875 0.0 0.0 3.0
13.3125 0.0 0.0 3.0
13.4375 0.0 0.0 3.0
13.5625 0.0 0.0 3.0
13.6875 0.0 0.0 3.0
13.8125 0.0 0.0 3.0
13.9375 0.0 0.0 3.0
14.0625 0.0 0.0 3.0
14.1875 0.0 0.0 3.0
14.3125 0.0 0.0 3.0
14.4375 0.0 0.0 3.0
14.5625 0.0 0.0 3.0
14.6875 0.0 0.0 3.0
14.8125 0.0 0.0 3.0
14.9375 0.0 0.0 3.0
5.0625 -0.6348123643517214 -0.6588060911505065 4.0
5.1875 -0.5986780085623757 -0.6336611523273279 4.0
5.3125 -0.5750678323156346 -0.6202188100534946 4.0
5.4375 -0.5753190511118822 -0.6019386428342077 4.0
5.5625 -0.5841404156857042 -0.6058300762471351 4.0
5.6875 -0.599806477854897 -0.6179259132943447 4.0
5.8125 -0.6228741989071472 -0.6466435493497823 4.0
5.9375 -0.6598733415992444 -0.6750179112348063 4.0
6.0625 -0.69714874050739 -0.7075005960268421 4.0
6.1875 -0.7416881682346799 -0.7336539020251498 4.0
6.3125 -0.7831361458344976 -0.7877221914260946 4.0
6.4375 -0.8484302771112606 -0.8281733385509398 4.0
6.5625 -0.8985824595469125 -0.88800053943432 4.0
6.6875 -0.9618202154684584 -0.9361306404656526 4.0
6.8125 -1.017045599322278 -1.0040397493065412 4.0
6.9375 -1.0833558903643834 -1.0612616704053666 4.0
7.0625 -1.149931819490301 -1.1280802550219406 4.0
7.1875 -1.2263383119945983 -1.2052025931458006 4.0
7.3125 -1.2852957157950147 -1.2716584780022693 4.0
