#frequency ebl ebl1 ebl2 type
4.9597900656e+17 2.7686631708e-11 2.765683116e-12 2.765683116e-12 2.0
5.07367760075e+17 2.8460164212e-11 2.886167052e-12 2.886167052e-12 2.0
5.18780693533e+17 2.834817183e-11 3.158217216e-12 3.158217216e-12 2.0
5.35875913777e+17 2.2818728214e-11 2.269327752e-12 2.269327752e-12 2.0
5.5867760075e+17 2.7313804422e-11 2.732678208e-12 2.732678208e-12 2.0
5.81479287723e+17 2.590164297e-11 2.937917466e-12 2.937917466e-12 2.0
6.04280974695e+17 3.9066435594e-11 3.41024013e-12 3.41024013e-12 2.0
6.27082661668e+17 3.2245154244e-11 3.293120772e-12 3.293120772e-12 2.0
6.49908528585e+17 3.2385024558e-11 3.509094636e-12 3.509094636e-12 2.0
6.72710215558e+17 3.2398002216e-11 3.62012571e-12 3.62012571e-12 2.0
6.9551190253e+17 2.9518083666e-11 3.480255396e-12 3.480255396e-12 2.0
7.41115276476e+17 2.852521272e-11 2.293841106e-12 2.293841106e-12 2.0
7.98107403936e+17 3.135145824e-11 3.12344991e-12 3.12344991e-12 2.0
8.43734957826e+17 3.8424762504e-11 3.506050494e-12 3.506050494e-12 2.0
8.89338331771e+17 3.2681427858e-11 3.637589472e-12 3.637589472e-12 2.0
9.34941705717e+17 3.7620948798e-11 3.939279966e-12 3.939279966e-12 2.0
9.80545079663e+17 4.0017489642e-11 4.206844026e-12 4.206844026e-12 2.0
1.04895014058e+18 4.0568639562e-11 3.586319712e-12 3.586319712e-12 2.0
1.14018106842e+18 4.5213199164e-11 4.567654962e-12 4.567654962e-12 2.0
1.25418950328e+18 3.641514813e-11 4.271572098e-12 4.271572098e-12 2.0
1.36819793814e+18 5.1530434686e-11 6.416891118e-12 6.416891118e-12 2.0
1.48223055295e+18 4.73764626e-11 5.809825116e-12 5.809825116e-12 2.0
1.68744573571e+18 4.974688791e-11 5.862056184e-12 5.862056184e-12 2.0
2.09790028116e+18 6.765525486e-11 1.1185940106e-11 1.1185940106e-11 2.0
8.15448358842e+17 2.7267508439e-11 4.00853146087e-13 4.06833914552e-13 2.0
9.56933497017e+17 3.03528741126e-11 5.51480464089e-13 3.44433068003e-13 2.0
1.08374192555e+18 3.32906543949e-11 4.89397979994e-13 4.96699846111e-13 2.0
1.21597844017e+18 3.48030969353e-11 6.32336429769e-13 3.94932532878e-13 2.0
1.35284924679e+18 3.6654675288e-11 5.38851649791e-13 6.78301745794e-13 2.0
1.49117569343e+18 3.86047604605e-11 7.1477172822e-13 7.14388443235e-13 2.0
1.61605183442e+18 3.96113856785e-11 8.70258216496e-13 5.91005780103e-13 2.0
1.76478002979e+18 4.2972955781e-11 6.31735186222e-13 7.95222729409e-13 2.0
1.89484169942e+18 4.67844805122e-11 6.87767503341e-13 8.65755720332e-13 2.0
2.16601354882e+18 4.94475400076e-11 7.26916506607e-13 9.15036143379e-13 2.0
2.45096799079e+18 5.00086522056e-11 9.25916139269e-13 9.25419631447e-13 2.0
2.7268494989e+18 5.36438428958e-11 9.93222126952e-13 1.20502417206e-12 2.0
3.17031448786e+18 5.77465452922e-11 1.46748536436e-12 1.52664729196e-12 2.0
3.62401995736e+18 6.17261721831e-11 1.35611788366e-12 1.60951967557e-12 2.0
4.72750239056e+18 6.72010302087e-11 9.87906336942e-13 7.62572167692e-13 2.0
5.85165638428e+18 6.67052482007e-11 -2.71702038233e-11 1.25835417568e-12 2.0
7.56908743107e+18 6.77004970811e-11 6.42971561895e-12 6.55256516027e-12 2.0
9.87380846292e+18 6.47584281043e-11 7.63967905307e-12 8.40305755715e-12 2.0
1.17947999875e+19 6.17261721831e-11 1.56861772108e-12 1.14225456982e-12 2.0
1.33577926678e+19 5.54517148742e-11 1.61838109907e-12 1.86879977392e-12 2.0
1.55301580221e+19 5.01853021802e-11 1.82411972456e-12 1.50871103095e-12 2.0
1.79036088351e+19 4.36141165185e-11 4.43336922539e-12 4.57683678081e-12 2.0
2.06223255978e+19 4.05011928708e-11 2.32958949498e-12 2.47176291016e-12 2.0
2.37740047621e+19 3.67841538316e-11 9.34778125947e-13 8.26297895956e-13 2.0
2.91544791138e+19 3.6654675288e-11 1.06978176984e-12 1.23531344426e-12 2.0
3.6734398553e+19 3.17318490491e-11 5.76535018566e-13 5.87203908865e-13 2.0
